id,walk,view,sex,payment,country
352,39,16,F,354,J
353,44,18,F,413,J
354,34,9,M,222,J
355,39,16,F,360,J
356,34,12,M,301,J
357,41,15,M,320,J
358,39,16,M,361,J
359,40,16,F,365,J
360,37,10,M,256,J
361,36,9,M,235,J
362,44,20,F,454,J
363,41,18,F,411,J
364,39,18,F,402,J
365,30,6,F,170,J
366,34,9,M,236,J
367,44,10,F,244,J
368,38,13,M,311,J
369,34,12,M,298,J
370,38,15,F,335,J
371,38,13,M,301,J
372,37,12,F,287,J
373,42,18,F,403,J
374,48,21,F,487,J
375,45,21,F,472,J
376,46,20,F,450,J
377,38,13,M,308,J
378,44,19,F,432,J
379,35,11,M,277,J
380,39,15,F,350,J
381,51,23,F,513,J
382,40,15,F,347,J
383,38,13,F,321,J
384,37,13,F,300,J
385,44,18,F,408,J
386,51,26,F,581,J
387,42,17,M,400,J
388,39,14,M,321,J
389,50,24,F,552,J
390,36,11,M,278,J
391,46,21,F,469,J
392,38,14,M,325,J
393,35,12,M,297,J
394,46,20,F,444,J
395,33,7,M,180,J
396,38,15,M,356,J
397,40,16,M,389,J
398,38,13,M,310,J
399,32,8,M,207,J
400,37,15,M,338,J
401,32,9,M,237,J
402,50,24,F,535,J
403,31,9,M,224,J
404,29,2,M,91,J
405,43,16,F,382,J
406,45,18,F,412,J
407,39,17,F,387,J
408,39,16,F,364,J
409,44,18,F,413,J
410,47,18,F,438,J
411,32,2,M,33,J
412,47,20,F,466,J
413,41,14,F,330,J
414,38,14,F,339,J
415,46,20,F,462,J
416,45,19,F,422,J
417,46,21,F,476,J
418,39,15,F,340,J
419,44,18,F,413,J
420,41,14,F,331,J
421,37,14,M,325,J
422,49,22,F,489,J
423,41,15,F,356,J
424,40,17,F,396,J
425,43,16,F,372,J
426,42,17,F,381,J
427,36,5,F,153,J
428,40,12,F,290,J
429,53,24,F,539,J
430,40,11,F,270,J
431,39,16,F,362,J
432,44,18,F,420,J
433,42,17,F,399,J
434,37,14,F,336,J
435,35,13,M,310,J
436,44,18,F,417,J
437,41,14,F,330,J
438,42,16,M,363,J
439,39,15,F,357,J
440,32,9,M,232,J
441,40,15,F,358,J
442,52,24,F,544,J
443,33,12,M,298,J
444,35,14,M,320,J
445,33,11,M,263,J
446,38,14,M,320,J
447,47,21,F,465,J
448,39,15,F,352,J
449,39,14,M,329,J
450,34,8,M,211,J
451,40,14,F,325,J
452,45,20,F,446,J
453,51,23,F,514,J
454,47,21,F,469,J
455,36,12,M,302,J
456,37,13,F,302,J
457,43,17,F,383,J
458,40,15,F,347,J
459,41,15,M,357,J
460,33,8,M,212,J
461,38,13,M,317,J
462,35,12,M,297,J
463,35,13,M,307,J
464,36,12,M,302,J
465,38,14,F,334,J
466,40,15,F,350,J
467,43,16,F,379,J
468,37,13,M,318,J
469,36,12,M,283,J
470,48,20,F,468,J
471,45,19,F,443,J
472,43,18,F,415,J
473,48,21,F,470,J
474,35,11,M,280,J
475,50,18,F,416,J
476,46,21,F,461,J
477,42,16,F,364,J
478,43,17,F,392,J
479,40,15,F,343,J
480,39,15,F,341,J
481,32,9,M,228,J
482,44,19,F,425,J
483,51,25,F,567,J
484,50,24,F,534,J
485,41,16,F,372,J
486,39,14,F,335,J
487,41,17,F,389,J
488,46,18,F,421,J
489,47,19,F,430,J
490,42,17,F,382,J
491,46,18,F,415,J
492,40,14,M,334,J
493,42,17,M,393,J
494,46,20,F,449,J
495,58,27,F,643,J
496,40,15,F,361,J
497,37,14,M,327,J
498,42,17,F,385,J
499,38,14,F,336,J
500,43,15,F,346,J
